datetime,epa_ozone,epa_so2,epa_co,epa_no2,epa_pm25_fem
2023-07-19 00:00:00,0.038,0.3,0.204,,12.1
2023-07-19 01:00:00,0.029,0.2,0.202,,10.8
2023-07-19 02:00:00,0.026,0.2,0.212,,11.2
2023-07-19 03:00:00,0.027,0.2,0.22,,12.5
2023-07-19 04:00:00,0.021,0.2,0.271,,14.1
2023-07-19 05:00:00,0.018,0.3,0.262,,14.4
2023-07-19 06:00:00,0.02,0.2,0.289,,17.5
2023-07-19 07:00:00,0.031,0.2,0.35,,23.1
2023-07-19 08:00:00,0.038,0.2,0.366,,27.4
2023-07-19 09:00:00,0.044,0.2,0.365,,28.7
2023-07-19 10:00:00,0.046,0.1,0.372,,30.7
2023-07-19 11:00:00,0.049,0.3,0.362,5.0,29.6
2023-07-19 12:00:00,0.049,0.3,0.324,4.0,24.0
2023-07-19 13:00:00,0.051,0.3,0.339,3.0,19.5
2023-07-19 14:00:00,0.048,0.2,0.296,4.0,17.7
2023-07-19 15:00:00,0.047,0.3,0.289,4.0,16.6
2023-07-19 16:00:00,0.047,0.3,0.3,4.0,15.3
2023-07-19 17:00:00,0.042,0.2,0.281,4.0,13.9
2023-07-19 18:00:00,0.039,0.3,0.285,4.0,14.3
2023-07-19 19:00:00,0.035,0.3,0.324,7.0,13.1
2023-07-19 20:00:00,0.034,0.3,0.366,9.0,13.1
2023-07-19 21:00:00,0.029,0.3,0.363,11.0,14.9
2023-07-19 22:00:00,0.026,0.3,0.341,10.0,15.0
2023-07-19 23:00:00,0.026,0.3,0.334,5.0,14.5
2023-07-20 00:00:00,0.021,0.3,0.331,6.0,13.0
2023-07-20 01:00:00,0.018,0.3,0.291,7.0,11.6
2023-07-20 02:00:00,0.017,0.3,0.253,5.0,10.5
2023-07-20 03:00:00,0.015,0.3,0.251,6.0,9.9
2023-07-20 04:00:00,0.01,0.3,0.283,9.0,9.0
2023-07-20 05:00:00,0.013,0.2,0.278,11.0,7.6
2023-07-20 06:00:00,0.016,0.3,0.262,13.0,7.1
2023-07-20 07:00:00,0.021,0.3,0.265,12.0,7.0
2023-07-20 08:00:00,0.03,0.3,0.258,9.0,6.8
2023-07-20 09:00:00,0.035,0.4,0.225,6.0,6.3
2023-07-20 10:00:00,0.034,0.3,0.224,4.0,6.0
2023-07-20 11:00:00,,,,,6.3
2023-07-20 12:00:00,,,,,5.9
2023-07-20 13:00:00,,,,,6.6
2023-07-20 14:00:00,,,,,6.2
2023-07-20 15:00:00,,,,,6.3
2023-07-20 16:00:00,0.036,,0.297,,6.0
2023-07-20 17:00:00,0.033,,0.285,4.0,5.7
2023-07-20 18:00:00,0.028,,0.353,9.0,6.1
2023-07-20 19:00:00,0.026,,0.344,7.0,6.4
2023-07-20 20:00:00,0.025,,0.34,8.0,6.8
2023-07-20 21:00:00,0.024,,0.342,7.0,7.0
2023-07-20 22:00:00,0.021,,0.34,9.0,7.5
2023-07-20 23:00:00,0.022,,0.315,7.0,8.3
2023-07-21 00:00:00,0.02,0.2,0.331,,
2023-07-21 01:00:00,0.022,0.2,0.3,,
2023-07-21 02:00:00,0.022,0.2,0.313,,
2023-07-21 03:00:00,,0.2,0.315,12.0,
2023-07-21 04:00:00,0.018,0.2,0.327,9.0,
2023-07-21 05:00:00,0.01,0.2,,12.0,
2023-07-21 06:00:00,0.012,0.3,0.365,11.0,
2023-07-21 07:00:00,0.032,0.2,0.369,7.0,
2023-07-21 08:00:00,0.044,0.2,0.342,6.0,
2023-07-21 09:00:00,0.031,0.3,0.397,13.0,12.8
2023-07-21 10:00:00,0.026,0.3,0.485,12.0,11.7
2023-07-21 11:00:00,0.015,0.6,0.984,28.0,12.5
2023-07-21 12:00:00,0.021,0.7,0.988,27.0,12.4
2023-07-21 13:00:00,0.021,0.6,0.807,31.0,14.0
2023-07-21 14:00:00,0.03,0.5,0.541,24.0,13.6
2023-07-21 15:00:00,0.046,0.3,0.395,8.0,15.0
2023-07-21 16:00:00,0.05,0.3,0.337,4.0,13.5
2023-07-21 17:00:00,0.048,0.2,0.347,4.0,12.4
2023-07-21 18:00:00,0.054,0.3,0.294,7.0,7.0
2023-07-21 19:00:00,0.044,0.3,0.328,14.0,6.3
2023-07-21 20:00:00,0.052,0.3,0.274,8.0,6.0
2023-07-21 21:00:00,0.051,0.3,0.311,8.0,4.0
2023-07-21 22:00:00,0.048,0.3,0.289,8.0,5.8
2023-07-21 23:00:00,0.049,0.3,0.26,4.0,5.8
2023-07-22 00:00:00,0.044,0.2,0.259,6.0,5.0
2023-07-22 01:00:00,0.04,0.2,0.287,6.0,5.1
2023-07-22 02:00:00,0.046,0.2,0.236,2.0,4.2
2023-07-22 03:00:00,0.045,0.2,0.228,2.0,3.6
2023-07-22 04:00:00,0.044,0.2,0.239,2.0,3.9
2023-07-22 05:00:00,0.042,0.2,0.232,3.0,3.8
2023-07-22 06:00:00,0.04,0.2,0.235,3.0,4.5
2023-07-22 07:00:00,0.038,0.2,0.242,4.0,5.0
2023-07-22 08:00:00,0.039,0.2,0.232,3.0,5.3
2023-07-22 09:00:00,0.039,0.2,0.251,3.0,6.6
2023-07-22 10:00:00,0.04,0.2,0.246,3.0,7.2
2023-07-22 11:00:00,0.045,0.2,0.237,2.0,6.8
2023-07-22 12:00:00,0.041,0.3,0.326,8.0,7.0
2023-07-22 13:00:00,0.049,0.3,0.338,7.0,7.8
2023-07-22 14:00:00,0.055,0.3,0.341,7.0,7.8
2023-07-22 15:00:00,0.055,0.3,0.364,7.0,7.3
2023-07-22 16:00:00,0.038,0.2,0.238,2.0,7.5
2023-07-22 17:00:00,0.038,0.2,0.209,2.0,7.2
2023-07-22 18:00:00,0.035,0.3,0.228,3.0,7.4
2023-07-22 19:00:00,0.028,0.3,0.284,6.0,7.5
2023-07-22 20:00:00,0.018,0.3,0.4,13.0,7.2
2023-07-22 21:00:00,0.02,0.3,0.342,9.0,7.4
2023-07-22 22:00:00,0.015,0.3,0.328,10.0,8.3
2023-07-22 23:00:00,0.008,0.3,0.421,14.0,7.8
2023-07-23 00:00:00,0.002,0.4,0.463,17.0,8.2
2023-07-23 01:00:00,0.004,0.3,0.409,13.0,8.8
2023-07-23 02:00:00,0.011,0.2,0.329,6.0,7.8
2023-07-23 03:00:00,0.008,0.3,0.315,7.0,7.8
2023-07-23 04:00:00,0.007,0.3,0.316,8.0,7.8
2023-07-23 05:00:00,0.007,0.4,0.331,9.0,7.6
2023-07-23 06:00:00,0.013,0.3,0.302,6.0,7.5
2023-07-23 07:00:00,0.02,0.3,0.273,4.0,7.7
2023-07-23 08:00:00,0.028,0.2,0.245,2.0,7.5
2023-07-23 09:00:00,0.033,0.2,0.204,1.0,7.6
2023-07-23 10:00:00,0.034,0.2,0.198,0.0,7.5
2023-07-23 11:00:00,0.034,0.1,0.197,1.0,7.6
2023-07-23 12:00:00,0.035,0.2,0.212,1.0,7.6
2023-07-23 13:00:00,0.037,0.2,0.206,1.0,7.7
2023-07-23 14:00:00,0.037,0.3,0.214,1.0,7.3
2023-07-23 15:00:00,0.038,0.2,0.178,1.0,6.7
2023-07-23 16:00:00,0.04,0.2,0.184,1.0,7.1
2023-07-23 17:00:00,,0.2,0.187,1.0,7.5
2023-07-23 18:00:00,,0.3,0.252,3.0,8.4
