student_id,age,gender,major,year_in_school,gpa,study_hours_per_day,attendance_rate,sleep_hours_per_night,exercise_days_per_week,screen_time_hours,social_media_hours,caffeine_mg_per_day,stress_level,anxiety_score,depression_score,life_satisfaction,num_clubs,on_campus,has_part_time_job,monthly_spending
STU0118,19,Male,Psychology,2,2.53,3.3,96.1,9.1,4.0,11.4,2.8,0.0,3.4,3.0,0.0,7.1,1.0,False,No,999.0
STU0133,18,Female,Mechanical Engineering,1,3.17,6.1,87.1,4.5,1.0,5.4,2.2,90.0,7.8,9.0,9.0,2.5,2.0,True,Yes,666.5
STU0155,21,Male,Nursing,2,3.47,8.8,81.6,6.5,3.0,6.2,2.2,316.0,3.4,2.0,5.0,9.2,1.0,True,Yes,1112.3
STU0246,18,Female,Business,2,3.11,7.6,96.1,7.6,3.0,6.0,1.7,236.0,4.6,5.0,4.0,7.4,3.0,True,Yes,958.2
STU0085,23,Female,Computer Science,4,2.4,5.5,91.7,8.3,0.0,10.1,2.9,124.0,4.8,5.0,5.0,5.5,3.0,True,No,969.4
STU0347,25,Female,Biology,2,3.12,6.8,88.6,7.5,4.0,6.3,2.3,126.0,5.8,4.0,13.0,5.0,1.0,False,Yes,1069.4
STU0007,18,Male,Economics,3,3.12,5.6,85.6,7.7,6.0,9.8,0.3,122.0,2.7,5.0,1.0,10.0,1.0,True,No,1041.1
STU0478,18,Male,Economics,2,3.44,7.1,76.1,6.2,7.0,10.5,3.3,0.0,5.3,7.0,7.0,4.0,3.0,False,Yes,1083.4
STU0183,21,Female,Computer Science,3,2.5,6.1,100.0,6.7,6.0,5.8,2.0,207.0,6.7,6.0,2.0,3.6,4.0,True,No,838.5
STU0056,18,Male,Political Science,1,3.12,8.5,59.9,5.5,1.0,8.1,2.1,159.0,6.2,9.0,4.0,5.6,5.0,True,Yes,1318.5
STU0105,24,Female,Psychology,1,2.29,6.3,92.9,6.8,5.0,7.3,2.2,251.0,7.3,6.0,7.0,3.5,1.0,False,No,735.5
STU0360,23,Male,Art & Design,1,2.7,6.1,91.3,8.3,3.0,5.9,2.9,218.0,1.0,0.0,2.0,10.0,5.0,False,Yes,676.6
