Environmental_Indicator,LandUse_Variable,Method,Correlation_r,P_Value,Significance,Abs_Correlation
Mean_PM25_ugm3,Greenspace_Area_Percent_25m,Pearson,0.569,0.0533,,0.5693195095242695
Mean_PM25_ugm3,Greenspace_Area_Percent_50m,Pearson,0.512,0.0889,,0.5118283795214509
Mean_PM25_ugm3,Impervious_Area_Percent_25m,Pearson,0.122,0.7047,,0.1224222532765718
Mean_PM25_ugm3,Impervious_Area_Percent_50m,Pearson,0.154,0.6325,,0.15411836643594978
Mean_PM25_ugm3,Industrial_Area_Percent_25m,Pearson,0.21,0.5122,,0.21010883618849652
Mean_PM25_ugm3,Industrial_Area_Percent_50m,Pearson,-0.202,0.5288,,0.2020809493950425
Mean_PM25_ugm3,Roads_Area_Percent_25m,Pearson,0.634,0.0269,*,0.6339433791265527
Mean_PM25_ugm3,Roads_Area_Percent_50m,Pearson,0.68,0.015,*,0.6800207177961227
Mean_PM25_ugm3,Trees_Area_Percent_25m,Pearson,-0.109,0.7351,,0.1093730452514062
Mean_PM25_ugm3,Trees_Area_Percent_50m,Pearson,-0.206,0.5206,,0.20603157287535592
Mean_WBGT_F,Greenspace_Area_Percent_25m,Pearson,0.084,0.7963,,0.08355540264260587
Mean_WBGT_F,Greenspace_Area_Percent_50m,Pearson,-0.004,0.9913,,0.003523635305108311
Mean_WBGT_F,Impervious_Area_Percent_25m,Pearson,-0.566,0.0548,,0.5664191510949959
Mean_WBGT_F,Impervious_Area_Percent_50m,Pearson,-0.52,0.0834,,0.5196267322145607
Mean_WBGT_F,Industrial_Area_Percent_25m,Pearson,0.061,0.8514,,0.06069746057827313
Mean_WBGT_F,Industrial_Area_Percent_50m,Pearson,-0.098,0.7619,,0.09801059223521291
Mean_WBGT_F,Roads_Area_Percent_25m,Pearson,-0.014,0.9657,,0.013940631485447719
Mean_WBGT_F,Roads_Area_Percent_50m,Pearson,-0.229,0.4747,,0.22867565804862042
Mean_WBGT_F,Trees_Area_Percent_25m,Pearson,0.49,0.1061,,0.489705090598674
Mean_WBGT_F,Trees_Area_Percent_50m,Pearson,0.506,0.093,,0.5062826816092177
