Outcome,Predictor,Coefficient,Coefficient_PValue,R_Squared,Adj_R_Squared,Model_Type
Mean_PM25_ugm3,Greenspace_Area_Percent_25m,5.239909741868548,0.053345641273825,0.32412470392495496,0.2565371743174504,Univariate
Mean_PM25_ugm3,Greenspace_Area_Percent_50m,5.975981496856843,0.08893255254478556,0.26196829008355427,0.18816511909190958,Univariate
Mean_PM25_ugm3,Impervious_Area_Percent_25m,0.5543722165418901,0.7046661905581546,0.014987208097312577,-0.08351407109295628,Univariate
Mean_PM25_ugm3,Impervious_Area_Percent_50m,0.8047013181617539,0.632482093517406,0.023752470872885345,-0.0738722820398261,Univariate
Mean_PM25_ugm3,Industrial_Area_Percent_25m,8.844865161376454,0.512186200434152,0.044145723044484275,-0.051439704651067286,Univariate
Mean_PM25_ugm3,Industrial_Area_Percent_50m,-3.9831634510375036,0.5287933451610647,0.04083671010840162,-0.055079618880758296,Univariate
Mean_PM25_ugm3,Roads_Area_Percent_25m,4.0189365920052245,0.02685135984311245,0.4018842079383923,0.34207262873223143,Univariate
Mean_PM25_ugm3,Roads_Area_Percent_50m,5.527786730232471,0.01496513617777169,0.46242817663195324,0.4086709942951485,Univariate
Mean_PM25_ugm3,Trees_Area_Percent_25m,-0.5193532225314987,0.7350869061430996,0.011962463027566428,-0.08684129066967694,Univariate
Mean_PM25_ugm3,Trees_Area_Percent_50m,-1.091812840904524,0.5205920756020321,0.04244900902149307,-0.05330609007635778,Univariate
Mean_WBGT_F,Greenspace_Area_Percent_25m,0.33341932045605915,0.796277481852695,0.006981505310766911,-0.09232034415815638,Univariate
Mean_WBGT_F,Greenspace_Area_Percent_50m,-0.017837102998925047,0.9913286972927413,1.2416005762849736e-05,-0.09998634239366089,Univariate
Mean_WBGT_F,Impervious_Area_Percent_25m,-1.1120581635523967,0.054849667513963155,0.3208306547271771,0.2529137201998948,Univariate
Mean_WBGT_F,Impervious_Area_Percent_50m,-1.1763059312147508,0.08336119341518661,0.270011940831987,0.19701313491518557,Univariate
Mean_WBGT_F,Industrial_Area_Percent_25m,1.1078115965668758,0.8513586690991053,0.003684181720652435,-0.09594740010728242,Univariate
Mean_WBGT_F,Industrial_Area_Percent_50m,-0.8375760569973494,0.7618647595169294,0.009606076190295187,-0.0894333161906753,Univariate
Mean_WBGT_F,Roads_Area_Percent_25m,-0.03831701038545532,0.9657018653400484,0.0001943412062099803,-0.09978622467316911,Univariate
Mean_WBGT_F,Roads_Area_Percent_50m,-0.8059304376764285,0.4746796784314117,0.05229255658397136,-0.04247818775763168,Univariate
Mean_WBGT_F,Trees_Area_Percent_25m,1.0081743201019435,0.10609236079483066,0.23981107575825644,0.16379218333408196,Univariate
Mean_WBGT_F,Trees_Area_Percent_50m,1.1632042423517523,0.09304418010609077,0.25632215369741107,0.18195436906715212,Univariate
Mean_PM25_ugm3,Roads_Area_Percent_50m,3.8038938485534546,0.1323522866827747,0.5414135383539372,0.43950543576592327,Multivariate
Mean_PM25_ugm3,Roads_Area_Percent_25m,2.2320323705133216,0.24455757552500426,0.5414135383539372,0.43950543576592327,Multivariate
Mean_WBGT_F,Impervious_Area_Percent_25m,-1.1203841136013344,0.05810390044781818,0.37784260376928314,0.2395854046069016,Multivariate
Mean_WBGT_F,Roads_Area_Percent_50m,-0.8416452017047451,0.3874735772554817,0.37784260376928314,0.2395854046069016,Multivariate
